电影名,评分,类型
肖申克的救赎,9.7,"犯罪,剧情"
霸王别姬,9.6,"剧情,爱情,同性"
泰坦尼克号,9.5,"剧情,爱情,灾难"
阿甘正传,9.5,"剧情,爱情"
千与千寻,9.4,"剧情,动画,奇幻"
美丽人生,9.5,"剧情,喜剧,爱情,战争"
星际穿越,9.4,"剧情,科幻,冒险"
这个杀手不太冷,9.4,"剧情,动作,犯罪"
盗梦空间,9.4,"剧情,科幻,悬疑,冒险"
楚门的世界,9.4,"剧情,科幻"
辛德勒的名单,9.5,"剧情,历史,战争"
忠犬八公的故事,9.4,剧情
海上钢琴师,9.3,"剧情,音乐"
疯狂动物城,9.3,"喜剧,动画,冒险"
三傻大闹宝莱坞,9.2,"剧情,喜剧,爱情,歌舞"
机器人总动员,9.3,"科幻,动画,冒险"
放牛班的春天,9.3,"剧情,音乐"
无间道,9.3,"剧情,犯罪,惊悚"
控方证人,9.6,"剧情,犯罪,悬疑,惊悚"
寻梦环游记,9.1,"喜剧,动画,奇幻,音乐"
大话西游之大圣娶亲,9.2,"喜剧,爱情,奇幻,古装"
熔炉,9.3,剧情
触不可及,9.3,"剧情,喜剧"
教父,9.3,"剧情,犯罪"
末代皇帝,9.3,"剧情,传记,历史"
哈利·波特与魔法石,9.2,"奇幻,冒险"
当幸福来敲门,9.1,"剧情,传记,家庭"
龙猫,9.2,"动画,奇幻,冒险"
活着,9.3,"剧情,历史,家庭"
怦然心动,9.1,"剧情,喜剧,爱情"
蝙蝠侠：黑暗骑士,9.2,"剧情,动作,科幻,犯罪,惊悚"
指环王3：王者无敌,9.3,"剧情,动作,奇幻,冒险"
我不是药神,9.0,"剧情,喜剧"
乱世佳人,9.3,"剧情,历史,爱情,战争"
让子弹飞,9.0,"剧情,喜剧,动作,西部"
飞屋环游记,9.1,"剧情,喜剧,动画,冒险"
哈尔的移动城堡,9.1,"爱情,动画,奇幻,冒险"
十二怒汉,9.4,剧情
海蒂和爷爷,9.3,"剧情,冒险,家庭"
素媛,9.3,剧情
猫鼠游戏,9.1,"传记,犯罪,剧情"
天空之城,9.2,"动画,奇幻,冒险"
鬼子来了,9.3,"剧情,喜剧"
摔跤吧！爸爸,9.0,"剧情,传记,运动,家庭"
少年派的奇幻漂流,9.1,"剧情,奇幻,冒险"
钢琴家,9.3,"剧情,传记,战争,音乐"
死亡诗社,9.2,剧情
指环王2：双塔奇兵,9.2,"剧情,动作,奇幻,冒险"
大话西游之月光宝盒,9.0,"喜剧,爱情,奇幻,古装"
绿皮书,8.9,"剧情,喜剧,传记,音乐"
何以为家,9.1,剧情
闻香识女人,9.1,剧情
大闹天宫,9.4,"剧情,动画,奇幻,古装"
黑客帝国,9.1,"动作,科幻"
指环王1：护戒使者,9.1,"剧情,动作,奇幻,冒险"
罗马假日,9.1,"喜剧,剧情,爱情"
教父2,9.3,"剧情,犯罪"
狮子王,9.1,"动画,冒险,歌舞"
天堂电影院,9.2,"剧情,爱情"
饮食男女,9.2,"剧情,家庭"
辩护人,9.2,剧情
本杰明·巴顿奇事,9.0,"剧情,爱情,奇幻"
搏击俱乐部,9.0,"剧情,动作,悬疑,惊悚"
美丽心灵,9.1,"传记,剧情"
穿条纹睡衣的男孩,9.2,"剧情,战争"
哈利·波特与死亡圣器(下),9.0,"奇幻,冒险"
两杆大烟枪,9.1,"剧情,喜剧,犯罪"
情书,8.9,"剧情,爱情"
窃听风暴,9.2,"剧情,悬疑"
功夫,8.9,"动作,喜剧,犯罪,奇幻"
音乐之声,9.1,"剧情,传记,爱情,歌舞"
哈利·波特与阿兹卡班的囚徒,9.0,"奇幻,冒险"
阿凡达,8.8,"动作,科幻,冒险"
西西里的美丽传说,8.9,"剧情,战争,情色"
看不见的客人,8.8,"剧情,犯罪,悬疑,惊悚"
拯救大兵瑞恩,9.1,"剧情,战争"
沉默的羔羊,8.9,"剧情,犯罪,惊悚"
小鞋子,9.2,"剧情,儿童,家庭"
蝴蝶效应,8.9,"剧情,悬疑,科幻,惊悚"
布达佩斯大饭店,8.9,"剧情,喜剧,冒险"
还有明天,9.3,"剧情,喜剧,历史"
飞越疯人院,9.1,剧情
禁闭岛,8.9,"剧情,悬疑,惊悚"
心灵捕手,9.0,剧情
致命魔术,8.9,"剧情,悬疑,惊悚"
低俗小说,8.9,"剧情,喜剧,犯罪"
哈利·波特与密室,8.9,"奇幻,冒险"
超脱,9.0,剧情
一一,9.1,"剧情,爱情,家庭"
喜剧之王,8.8,"喜剧,剧情,爱情"
杀人回忆,8.9,"剧情,动作,犯罪,悬疑,惊悚"
致命ID,8.9,"剧情,悬疑,惊悚"
摩登时代,9.3,"剧情,喜剧,爱情"
春光乍泄,9.0,"剧情,爱情,同性"
加勒比海盗,8.8,"动作,冒险,奇幻"
海豚湾,9.3,纪录片
美国往事,9.1,"犯罪,剧情"
红辣椒,9.0,"动画,悬疑,科幻,惊悚"
七宗罪,8.8,"剧情,犯罪,悬疑,惊悚"
唐伯虎点秋香,8.8,"喜剧,爱情,古装"
狩猎,9.1,剧情
幽灵公主,8.9,"动画,奇幻,冒险"
寄生虫,8.8,剧情
甜蜜蜜,8.9,"剧情,爱情"
天书奇谭,9.2,"动画,奇幻"
蝙蝠侠：黑暗骑士崛起,8.9,"剧情,动作,科幻,犯罪,惊悚"
超能陆战队,8.8,"喜剧,动作,科幻,动画,冒险"
7号房的礼物,8.9,"剧情,喜剧,家庭"
茶馆,9.5,"剧情,历史"
第六感,8.9,"剧情,悬疑,惊悚"
爱在黎明破晓前,8.8,"剧情,爱情"
爱在日落黄昏时,8.9,"剧情,爱情"
头脑特工队,8.8,"喜剧,动画,冒险"
被嫌弃的松子的一生,8.8,"剧情,歌舞"
哈利·波特与火焰杯,8.8,"悬疑,奇幻,冒险"
未麻的部屋,9.1,"剧情,犯罪,动画,悬疑,惊悚"
重庆森林,8.8,"剧情,爱情"
借东西的小人阿莉埃蒂,8.9,"动画,奇幻,冒险"
菊次郎的夏天,8.9,"剧情,喜剧"
入殓师,8.9,剧情
剪刀手爱德华,8.7,"剧情,爱情,奇幻"
断背山,8.8,"剧情,爱情,同性,家庭"
勇敢的心,8.9,"动作,传记,剧情,历史,战争"
时空恋旅人,8.8,"喜剧,爱情,奇幻"
驯龙高手,8.8,"动画,奇幻,冒险"
傲慢与偏见,8.7,"剧情,爱情"
无人知晓,9.1,剧情
消失的爱人,8.7,"剧情,犯罪,悬疑,惊悚"
倩女幽魂,8.8,"爱情,奇幻,武侠,古装"
新世界,8.9,"剧情,犯罪"
花样年华,8.8,"剧情,爱情"
玩具总动员3,8.9,"喜剧,动画,奇幻,冒险"
一个叫欧维的男人决定去死,8.9,剧情
色，戒,8.7,"剧情,爱情,情色"
完美的世界,9.1,"剧情,犯罪"
怪兽电力公司,8.8,"儿童,喜剧,动画,奇幻,冒险"
教父3,9.0,"剧情,犯罪"
阳光灿烂的日子,8.8,"剧情,爱情"
小森林 夏秋篇,9.0,剧情
天使爱美丽,8.7,"剧情,喜剧,爱情"
侧耳倾听,8.9,"剧情,爱情,动画"
哪吒闹海,9.2,"冒险,动画,奇幻"
九品芝麻官,8.8,"剧情,喜剧,古装"
被解救的姜戈,8.8,"剧情,动作,西部,冒险"
请以你的名字呼唤我,8.8,"剧情,爱情,同性"
幸福终点站,8.8,"喜剧,剧情,爱情"
釜山行,8.6,"动作,惊悚,灾难"
神偷奶爸,8.7,"喜剧,动画,冒险"
小森林 冬春篇,9.0,剧情
喜宴,9.0,"剧情,喜剧,爱情,同性,家庭"
萤火之森,8.8,"剧情,爱情,动画,奇幻"
告白,8.8,"剧情,悬疑"
七武士,9.3,"动作,冒险,剧情"
玛丽和麦克斯,9.0,"剧情,喜剧,动画"
头号玩家,8.6,"动作,科幻,冒险"
模仿游戏,8.8,"剧情,传记,战争,同性"
机器人之梦,9.1,"剧情,动画,音乐"
惊魂记,9.0,"悬疑,惊悚,恐怖"
大鱼,8.8,"剧情,爱情,奇幻,冒险"
心灵奇旅,8.7,"动画,奇幻,音乐"
背靠背，脸对脸,9.5,剧情
你的名字。,8.5,"剧情,爱情,动画"
血战钢锯岭,8.7,"剧情,传记,历史,战争"
射雕英雄传之东成西就,8.7,"喜剧,奇幻,武侠,古装"
我是山姆,9.0,"剧情,家庭"
阳光姐妹淘,8.8,"剧情,喜剧"
末路狂花,9.0,"犯罪,剧情,惊悚"
恐怖直播,8.7,"剧情,犯罪,悬疑"
黑客帝国3：矩阵革命,8.8,"动作,科幻"
高山下的花环,9.5,"剧情,战争"
小丑,8.7,"剧情,犯罪,惊悚"
谍影重重3,8.9,"动作,悬疑,惊悚"
三块广告牌,8.7,"剧情,犯罪"
电锯惊魂,8.7,"悬疑,惊悚,恐怖"
无间道2,8.8,"剧情,犯罪,惊悚"
达拉斯买家俱乐部,8.8,"剧情,传记,同性"
疯狂原始人,8.7,"喜剧,动画,冒险"
绿里奇迹,8.9,"犯罪,剧情,奇幻,悬疑"
爱在午夜降临前,8.9,"剧情,爱情"
疯狂的石头,8.6,"喜剧,犯罪"
雨中曲,9.1,"喜剧,歌舞,爱情"
2001太空漫游,8.9,"科幻,惊悚,冒险"
海街日记,8.8,"剧情,家庭"
上帝之城,9.0,"犯罪,剧情"
心迷宫,8.7,"剧情,犯罪,悬疑"
风之谷,8.9,"动画,奇幻,冒险"
英雄本色,8.6,"剧情,动作,犯罪"
记忆碎片,8.7,"犯罪,剧情,悬疑,惊悚"
纵横四海,8.8,"剧情,喜剧,动作,犯罪"
无敌破坏王,8.7,"喜剧,动画,奇幻,冒险"
卢旺达饭店,8.9,"剧情,传记,历史,战争"
恐怖游轮,8.5,"科幻,悬疑,奇幻,惊悚"
牯岭街少年杀人事件,8.9,"剧情,犯罪"
东京教父,9.0,"剧情,喜剧,动画"
小偷家族,8.7,"剧情,犯罪,家庭"
芙蓉镇,9.3,"剧情,爱情"
魔女宅急便,8.7,"动画,奇幻,冒险"
冰川时代,8.7,"喜剧,动画,冒险"
忠犬八公物语,9.2,剧情
岁月神偷,8.7,"剧情,家庭"
遗愿清单,8.7,"冒险,喜剧,剧情"
荒蛮故事,8.7,"剧情,喜剧,犯罪"
大佛普拉斯,8.7,"剧情,喜剧"
源代码,8.6,"科幻,悬疑,惊悚"
花束般的恋爱,8.6,"剧情,爱情"
白日梦想家,8.6,"剧情,喜剧,冒险"
爱乐之城,8.4,"剧情,爱情,歌舞"
疯狂的麦克斯4：狂暴之路,8.7,"动作,科幻,冒险"
可可西里,8.9,"剧情,犯罪"
你看起来好像很好吃,8.9,"剧情,动画,儿童"
贫民窟的百万富翁,8.6,"剧情,爱情"
波西米亚狂想曲,8.6,"剧情,传记,同性,音乐"
城市之光,9.3,"喜剧,剧情,爱情"
爆裂鼓手,8.6,"剧情,音乐"
哈利·波特与死亡圣器(上),8.6,"奇幻,冒险"
大红灯笼高高挂,8.8,剧情
无耻混蛋,8.7,"剧情,犯罪"
青蛇,8.6,"剧情,爱情,奇幻,古装"
终结者2：审判日,8.8,"动作,科幻"
东邪西毒,8.6,"剧情,动作,爱情,武侠,古装"
黑天鹅,8.6,"剧情,惊悚"
新龙门客栈,8.7,"动作,爱情,武侠,古装"
初恋这件小事,8.5,"剧情,喜剧,爱情"
千钧一发,8.8,"剧情,科幻,惊悚"
人工智能,8.7,"剧情,科幻"
崖上的波妞,8.6,"动画,奇幻,冒险"
虎口脱险,8.9,"喜剧,战争"
雨人,8.7,剧情
哈利·波特与凤凰社,8.6,"奇幻,冒险"
彗星来的那一夜,8.6,"科幻,悬疑,惊悚"
罗生门,8.8,"剧情,犯罪,悬疑"
海边的曼彻斯特,8.6,"剧情,家庭"
恋恋笔记本,8.5,"剧情,爱情"
火星救援,8.5,"剧情,科幻,冒险"
真爱至上,8.5,"喜剧,剧情,爱情"
黑客帝国2：重装上阵,8.7,"动作,科幻"
冰雪奇缘,8.5,"喜剧,动画,奇幻,歌舞"
步履不停,8.8,"剧情,家庭"
千年女优,8.8,"动画,剧情,爱情"
奇迹男孩,8.6,"剧情,儿童,家庭"
谍影重重2,8.7,"动作,悬疑,惊悚"
蜘蛛侠：平行宇宙,8.6,"动作,科幻,动画,冒险"
战争之王,8.7,"剧情,犯罪"
攻壳机动队,9.0,"动作,科幻,动画"
血钻,8.7,"剧情,惊悚,冒险"
小姐,8.5,"剧情,悬疑,情色,同性"
血观音,8.6,"剧情,悬疑"
隐藏人物,8.9,"剧情,传记,历史"
魂断蓝桥,8.8,"剧情,爱情,战争"
房间,8.7,"剧情,家庭"
